,State,County,First Doubling,Last Delta,Inv Tau,Tau,R Squared
481,Iowa,Louisa,2,11,0.539054894183996,1.855098637985224,0.9681867903025226
292,New York,New York City,6,5225,0.25628056650713216,3.9019735816456085,0.8730841483836632
369,Pennsylvania,Philadelphia,6,573,0.24064805913345208,4.155445938774212,0.9450628477712057
339,Michigan,Wayne,5,467,0.2404266584160951,4.159272547345175,0.8557673540473321
383,Pennsylvania,Lancaster,5,35,0.2341733620842286,4.2703405336099465,0.9204530839308241
295,New York,Rockland,9,252,0.23363875127033082,4.280111901655192,0.8606632086609939
297,New York,Suffolk,2,1569,0.23093085762772267,4.330300464271747,0.8836605564552966
377,Pennsylvania,Luzerne,7,107,0.22964592985672774,4.35452960400336,0.9376991215900647
604,New Jersey,Hudson,5,442,0.22744041880956875,4.396755885493158,0.9663320303500849
602,New Jersey,Union,6,372,0.22601131444601033,4.42455725037996,0.9557353703148543
702,Connecticut,New Haven,3,238,0.2245197626787207,4.4539509042282495,0.9576291458373749
601,New Jersey,Passaic,8,318,0.22421506047492998,4.460003703059957,0.947344684683046
376,Pennsylvania,Lehigh,5,147,0.22410608883352506,4.462172380969264,0.9608074235431252
294,New York,Nassau,3,1592,0.22049010834634566,4.5353508486158525,0.885078841654574
588,Oklahoma,Greer,2,5,0.22042803233991282,4.536628074862738,0.5712776688965591
607,New Jersey,Essex,2,471,0.2187881483822447,4.570631487099111,0.9260719962293436
661,Massachusetts,Hampden,6,195,0.21768244986032445,4.593847600675425,0.8887409876684049
457,Louisiana,Tangipahoa,9,14,0.21362221257674785,4.681161139273993,0.7831053116803551
606,New Jersey,Middlesex,4,472,0.21148760198459066,4.728409564513676,0.9413263185722262
657,Massachusetts,Essex,7,233,0.21067937845727233,4.746549032575625,0.9065667831139055
267,Florida,Miami-Dade,2,437,0.2083938441052524,4.79860623663593,0.9093339270529432
603,New Jersey,Monmouth,6,210,0.20828076070143411,4.8012115791793075,0.907141807832991
610,New Jersey,Ocean,3,237,0.20793127990224847,4.80928122247944,0.8804125736177786
418,Illinois,Will,5,98,0.20787659621350096,4.810546344394362,0.929246358385024
599,New Jersey,Bergen,7,469,0.2069808349598285,4.831365185062101,0.9342333647493765
660,Massachusetts,Plymouth,4,180,0.2058096920252881,4.8588576668057435,0.8823730463272338
431,Louisiana,Jefferson,4,388,0.2042367191928672,4.896279199704869,0.948197682288123
659,Massachusetts,Bristol,6,159,0.20365171968345236,4.910344000798804,0.8857124468467046
699,Connecticut,Fairfield,5,465,0.20153620587861787,4.961887595533502,0.9362563396276502
461,Louisiana,Ouachita,3,25,0.2013882262256527,4.96553358029736,0.943427189328936
300,New York,Orange,3,225,0.20017162518220613,4.995713049188417,0.8084328697777884
609,New Jersey,Morris,4,177,0.19943242515211942,5.014229753447757,0.9245311812260518
340,Michigan,Oakland,5,240,0.19909498481135812,5.022728226667773,0.8634813875122409
149,Indiana,Lake,6,64,0.19664057049074335,5.085420559472359,0.9070964511965462
135,California,San Bernardino,6,88,0.19375356890889303,5.161195252461238,0.9299853579630297
623,Maryland,Prince George's,8,166,0.19187749692611483,5.211658563510781,0.9639875098678793
382,Pennsylvania,Berks,5,200,0.19050965098387998,5.249077906738779,0.9650673658711388
442,Louisiana,East Baton Rouge,2,65,0.18989092735857588,5.266181033028895,0.9151847375885086
346,Michigan,Macomb,3,157,0.1877660138768524,5.325777436250293,0.8802976682805949
140,Indiana,Marion,11,125,0.1866717602689009,5.356996679945048,0.8800366101618697
53,Texas,Harris,11,706,0.18575888929564896,5.38332245520927,0.9183415424748899
701,Connecticut,Hartford,3,181,0.18534401509094284,5.3953724888787455,0.9309239303480861
434,Louisiana,St. Tammany,6,44,0.1845465675435517,5.418686531593209,0.920276864559199
