,UID,iso2,iso3,code3,FIPS,county,Lat,Combined_Key,Population,date,deaths,Long,Country/Region,Province/State
146,84005061.0,US,USA,840,5061.0,Howard,34.09007427,"Howard, Arkansas, US",13202,2020-04-16,0.0,-93.9934871,US,Arkansas
147,84005063.0,US,USA,840,5063.0,Independence,35.74242707,"Independence, Arkansas, US",37825,2020-04-16,0.0,-91.57001641,US,Arkansas
148,84005065.0,US,USA,840,5065.0,Izard,36.09604046,"Izard, Arkansas, US",13629,2020-04-16,0.0,-91.90847954,US,Arkansas
149,84005067.0,US,USA,840,5067.0,Jackson,35.59802983,"Jackson, Arkansas, US",16719,2020-04-16,0.0,-91.21494602,US,Arkansas
150,84005069.0,US,USA,840,5069.0,Jefferson,34.26767081,"Jefferson, Arkansas, US",66824,2020-04-16,6.0,-91.92619839,US,Arkansas
151,84005071.0,US,USA,840,5071.0,Johnson,35.56759135,"Johnson, Arkansas, US",26578,2020-04-16,0.0,-93.46036368,US,Arkansas
152,84005073.0,US,USA,840,5073.0,Lafayette,33.24116713,"Lafayette, Arkansas, US",6624,2020-04-16,0.0,-93.60677071,US,Arkansas
153,84005075.0,US,USA,840,5075.0,Lawrence,36.04188196,"Lawrence, Arkansas, US",16406,2020-04-16,1.0,-91.10867198,US,Arkansas
154,84005077.0,US,USA,840,5077.0,Lee,34.78498904,"Lee, Arkansas, US",8857,2020-04-16,1.0,-90.78383866,US,Arkansas
155,84005079.0,US,USA,840,5079.0,Lincoln,33.95317155,"Lincoln, Arkansas, US",13024,2020-04-16,0.0,-91.74002806,US,Arkansas
156,84005081.0,US,USA,840,5081.0,Little River,33.70375665,"Little River, Arkansas, US",12259,2020-04-16,0.0,-94.23468591,US,Arkansas
157,84005083.0,US,USA,840,5083.0,Logan,35.21413234,"Logan, Arkansas, US",21466,2020-04-16,0.0,-93.71951016,US,Arkansas
158,84005085.0,US,USA,840,5085.0,Lonoke,34.75392199,"Lonoke, Arkansas, US",73309,2020-04-16,0.0,-91.88742357,US,Arkansas
159,84005087.0,US,USA,840,5087.0,Madison,36.01038185,"Madison, Arkansas, US",16576,2020-04-16,0.0,-93.72524943,US,Arkansas
160,84005089.0,US,USA,840,5089.0,Marion,36.26844485,"Marion, Arkansas, US",16694,2020-04-16,0.0,-92.68451899,US,Arkansas
161,84005091.0,US,USA,840,5091.0,Miller,33.31403423,"Miller, Arkansas, US",43257,2020-04-16,0.0,-93.89285258,US,Arkansas
162,84005093.0,US,USA,840,5093.0,Mississippi,35.76271485,"Mississippi, Arkansas, US",40651,2020-04-16,0.0,-90.05194370000002,US,Arkansas
163,84005095.0,US,USA,840,5095.0,Monroe,34.6815935,"Monroe, Arkansas, US",6701,2020-04-16,0.0,-91.20540287,US,Arkansas
164,84005097.0,US,USA,840,5097.0,Montgomery,34.53704874,"Montgomery, Arkansas, US",8986,2020-04-16,0.0,-93.65824478,US,Arkansas
165,84005099.0,US,USA,840,5099.0,Nevada,33.66340119,"Nevada, Arkansas, US",8252,2020-04-16,0.0,-93.30632432,US,Arkansas
166,84005101.0,US,USA,840,5101.0,Newton,35.91947491,"Newton, Arkansas, US",7753,2020-04-16,0.0,-93.21612969,US,Arkansas
167,84005103.0,US,USA,840,5103.0,Ouachita,33.58839816,"Ouachita, Arkansas, US",23382,2020-04-16,0.0,-92.87795984,US,Arkansas
168,84005105.0,US,USA,840,5105.0,Perry,34.9459153,"Perry, Arkansas, US",10455,2020-04-16,0.0,-92.94372564,US,Arkansas
169,84005107.0,US,USA,840,5107.0,Phillips,34.43268455,"Phillips, Arkansas, US",17782,2020-04-16,1.0,-90.84800154,US,Arkansas
170,84005109.0,US,USA,840,5109.0,Pike,34.16250414,"Pike, Arkansas, US",10718,2020-04-16,0.0,-93.65789349,US,Arkansas
171,84005111.0,US,USA,840,5111.0,Poinsett,35.57433534,"Poinsett, Arkansas, US",23528,2020-04-16,0.0,-90.66268713,US,Arkansas
242,84006103.0,US,USA,840,6103.0,Tehama,40.12570935,"Tehama, California, US",65084,2020-04-16,1.0,-122.2370171,US,California
243,84006105.0,US,USA,840,6105.0,Trinity,40.64917670000001,"Trinity, California, US",12285,2020-04-16,0.0,-123.114713,US,California
244,84006107.0,US,USA,840,6107.0,Tulare,36.22026558,"Tulare, California, US",466195,2020-04-16,17.0,-118.8020203,US,California
245,84006109.0,US,USA,840,6109.0,Tuolumne,38.02644018,"Tuolumne, California, US",54478,2020-04-16,0.0,-119.9525093,US,California
246,84006111.0,US,USA,840,6111.0,Ventura,34.44465746,"Ventura, California, US",846006,2020-04-16,13.0,-119.0910613,US,California
247,84006113.0,US,USA,840,6113.0,Yolo,38.68278902,"Yolo, California, US",220500,2020-04-16,7.0,-121.9018288,US,California
248,84006115.0,US,USA,840,6115.0,Yuba,39.26255932,"Yuba, California, US",78668,2020-04-16,1.0,-121.3535644,US,California
249,84008001.0,US,USA,840,8001.0,Adams,39.87432092,"Adams, Colorado, US",517421,2020-04-16,28.0,-104.3362578,US,Colorado
250,84008003.0,US,USA,840,8003.0,Alamosa,37.57250606,"Alamosa, Colorado, US",16233,2020-04-16,2.0,-105.7885451,US,Colorado
251,84008005.0,US,USA,840,8005.0,Arapahoe,39.64977461,"Arapahoe, Colorado, US",656590,2020-04-16,52.0,-104.3353617,US,Colorado
252,84008007.0,US,USA,840,8007.0,Archuleta,37.19474156,"Archuleta, Colorado, US",14029,2020-04-16,0.0,-107.0476867,US,Colorado
253,84008009.0,US,USA,840,8009.0,Baca,37.31940883,"Baca, Colorado, US",3581,2020-04-16,0.0,-102.5603223,US,Colorado
254,84008011.0,US,USA,840,8011.0,Bent,37.95474293,"Bent, Colorado, US",5577,2020-04-16,0.0,-103.0720195,US,Colorado
255,84008013.0,US,USA,840,8013.0,Boulder,40.09313619,"Boulder, Colorado, US",326196,2020-04-16,15.0,-105.3546767,US,Colorado
256,84008014.0,US,USA,840,8014.0,Broomfield,39.95998787,"Broomfield, Colorado, US",70465,2020-04-16,2.0,-105.0566324,US,Colorado
257,84008015.0,US,USA,840,8015.0,Chaffee,38.74745778,"Chaffee, Colorado, US",20356,2020-04-16,4.0,-106.19265729999998,US,Colorado
317,84009009.0,US,USA,840,9009.0,New Haven,41.4080325,"New Haven, Connecticut, US",854757,2020-04-16,214.0,-72.93620426,US,Connecticut
318,84009011.0,US,USA,840,9011.0,New London,41.48896435,"New London, Connecticut, US",265206,2020-04-16,9.0,-72.10430976,US,Connecticut
319,84009013.0,US,USA,840,9013.0,Tolland,41.85853803,"Tolland, Connecticut, US",150721,2020-04-16,22.0,-72.3308481,US,Connecticut
320,84009015.0,US,USA,840,9015.0,Windham,41.82972709,"Windham, Connecticut, US",116782,2020-04-16,1.0,-71.98182316,US,Connecticut
321,84010001.0,US,USA,840,10001.0,Kent,39.08646628,"Kent, Delaware, US",180786,2020-04-16,9.0,-75.56884914,US,Delaware
322,84010003.0,US,USA,840,10003.0,New Castle,39.57992638,"New Castle, Delaware, US",558753,2020-04-16,25.0,-75.64054974,US,Delaware
323,84010005.0,US,USA,840,10005.0,Sussex,38.66143781,"Sussex, Delaware, US",234225,2020-04-16,18.0,-75.39031349,US,Delaware
324,84011001.0,US,USA,840,11001.0,District of Columbia,38.90417773,"District of Columbia,District of Columbia,US",705749,2020-04-16,81.0,-77.01655992,US,District of Columbia
325,84012001.0,US,USA,840,12001.0,Alachua,29.67866525,"Alachua, Florida, US",269043,2020-04-16,0.0,-82.35928158,US,Florida
326,84012003.0,US,USA,840,12003.0,Baker,30.33060121,"Baker, Florida, US",29210,2020-04-16,2.0,-82.28467476,US,Florida
327,84012005.0,US,USA,840,12005.0,Bay,30.26548745,"Bay, Florida, US",174705,2020-04-16,2.0,-85.62122584,US,Florida
328,84012007.0,US,USA,840,12007.0,Bradford,29.95079741,"Bradford, Florida, US",28201,2020-04-16,1.0,-82.16611613,US,Florida
