,date,county,state,fips,cases,deaths,Lat,Lng
0,2020-04-15,Alamance,North Carolina,37001.0,42,0,36.0351361,-79.48585489999998
1,2020-04-15,Alexander,North Carolina,37003.0,3,0,35.6987805,-82.6365922
2,2020-04-15,Alleghany,North Carolina,37005.0,2,0,36.4940839,-81.1196075
3,2020-04-15,Anson,North Carolina,37007.0,12,0,34.9054732,-80.1875065
4,2020-04-15,Ashe,North Carolina,37009.0,4,0,36.4339674,-81.47183869999998
5,2020-04-15,Beaufort,North Carolina,37013.0,13,0,34.7182174,-76.6638186
6,2020-04-15,Bertie,North Carolina,37015.0,16,1,36.0245185,-76.96430600000001
7,2020-04-15,Bladen,North Carolina,37017.0,1,0,34.5882404,-78.5660852
8,2020-04-15,Brunswick,North Carolina,37019.0,35,2,34.0275398,-78.2020387
9,2020-04-15,Buncombe,North Carolina,37021.0,37,3,35.59313770000001,-82.4752757
10,2020-04-15,Burke,North Carolina,37023.0,59,4,35.7616931,-81.73494199999998
11,2020-04-15,Cabarrus,North Carolina,37025.0,191,3,35.4168123,-80.5882803
12,2020-04-15,Caldwell,North Carolina,37027.0,19,0,35.9227448,-81.5596427
13,2020-04-15,Carteret,North Carolina,37031.0,22,1,34.9019263,-76.5488232
14,2020-04-15,Caswell,North Carolina,37033.0,3,0,36.3860217,-79.29021329999998
15,2020-04-15,Catawba,North Carolina,37035.0,35,1,35.70735579999999,-81.07563449999998
16,2020-04-15,Chatham,North Carolina,37037.0,77,0,35.7211289,-79.17806999999998
17,2020-04-15,Cherokee,North Carolina,37039.0,12,1,35.4770574,-83.32058590000001
18,2020-04-15,Chowan,North Carolina,37041.0,5,0,36.1354131,-76.6181655
19,2020-04-15,Clay,North Carolina,37043.0,3,0,35.0964003,-83.7199136
20,2020-04-15,Cleveland,North Carolina,37045.0,40,1,35.7331953,-80.67701109999999
21,2020-04-15,Columbus,North Carolina,37047.0,37,1,35.25316979999999,-82.1970584
22,2020-04-15,Craven,North Carolina,37049.0,31,1,35.0877672,-77.0564464
23,2020-04-15,Cumberland,North Carolina,37051.0,87,2,34.9542604,-78.74762079999998
24,2020-04-15,Currituck,North Carolina,37053.0,2,0,36.446565899999996,-76.0142968
25,2020-04-15,Dare,North Carolina,37055.0,11,1,35.6549619,-75.62080879999998
26,2020-04-15,Davidson,North Carolina,37057.0,87,2,35.4993031,-80.84868459999998
27,2020-04-15,Davie,North Carolina,37059.0,22,2,35.9367033,-80.5882803
28,2020-04-15,Duplin,North Carolina,37061.0,18,0,34.8840095,-78.0195387
29,2020-04-15,Durham,North Carolina,37063.0,330,2,35.99403289999999,-78.898619
30,2020-04-15,Edgecombe,North Carolina,37065.0,33,1,35.8840053,-77.6536125
31,2020-04-15,Forsyth,North Carolina,37067.0,123,4,36.120000299999994,-80.1875065
32,2020-04-15,Franklin,North Carolina,37069.0,66,3,35.182317100000006,-83.3815429
33,2020-04-15,Gaston,North Carolina,37071.0,92,3,36.5004281,-77.6449804
34,2020-04-15,Gates,North Carolina,37073.0,4,0,36.5038287,-76.76987259999999
35,2020-04-15,Granville,North Carolina,37077.0,98,4,36.2799451,-78.61149990000001
36,2020-04-15,Greene,North Carolina,37079.0,13,0,35.5013936,-77.69941969999998
37,2020-04-15,Guilford,North Carolina,37081.0,149,10,36.0899873,-79.82967430000001
38,2020-04-15,Halifax,North Carolina,37083.0,25,0,36.328486,-77.5894199
39,2020-04-15,Harnett,North Carolina,37085.0,50,2,35.345279999999995,-78.7925
40,2020-04-15,Haywood,North Carolina,37087.0,3,0,35.624394,-82.99316069999998
41,2020-04-15,Henderson,North Carolina,37089.0,97,4,36.3294305,-78.39920099999998
42,2020-04-15,Hertford,North Carolina,37091.0,5,1,36.190157899999996,-76.46605190000001
43,2020-04-15,Hoke,North Carolina,37093.0,20,0,35.04324879999999,-79.24511489999998
44,2020-04-15,Iredell,North Carolina,37097.0,70,2,35.8310501,-80.89865019999998
45,2020-04-15,Jackson,North Carolina,37099.0,2,0,36.3895976,-77.42136140000001
46,2020-04-15,Johnston,North Carolina,37101.0,106,9,35.4403514,-78.38422270000001
47,2020-04-15,Jones,North Carolina,37103.0,8,1,35.030629299999994,-77.3324425
48,2020-04-15,Lee,North Carolina,37105.0,16,0,35.4693744,-79.1548533
49,2020-04-15,Lenoir,North Carolina,37107.0,14,0,35.9140196,-81.5389849
50,2020-04-15,Lincoln,North Carolina,37109.0,15,0,35.4637028,-81.20781640000001
51,2020-04-15,Macon,North Carolina,37113.0,2,1,36.4387585,-78.0838809
52,2020-04-15,Martin,North Carolina,37117.0,7,0,35.8733053,-77.1485163
53,2020-04-15,McDowell,North Carolina,37111.0,18,0,35.698440500000004,-82.08429009999998
54,2020-04-15,Mecklenburg,North Carolina,37119.0,1015,19,35.2632655,-80.85438470000001
55,2020-04-15,Mitchell,North Carolina,37121.0,4,0,36.0277763,-82.14960490000001
56,2020-04-15,Montgomery,North Carolina,37123.0,15,1,35.3587922,-79.87448359999998
57,2020-04-15,Moore,North Carolina,37125.0,66,0,35.3674493,-79.4703885
58,2020-04-15,Nash,North Carolina,37127.0,40,1,35.9597948,-77.973865
59,2020-04-15,New Hanover,North Carolina,37129.0,56,1,34.2154913,-77.88245959999998
60,2020-04-15,Northampton,North Carolina,37131.0,65,0,36.415963500000004,-77.42429720000001
61,2020-04-15,Onslow,North Carolina,37133.0,29,1,34.6540094,-77.4701972
62,2020-04-15,Orange,North Carolina,37135.0,161,2,36.0263022,-79.1096901
63,2020-04-15,Pamlico,North Carolina,37137.0,6,0,35.1337865,-76.68747009999998
64,2020-04-15,Pasquotank,North Carolina,37139.0,15,0,36.2927068,-76.317414
65,2020-04-15,Pender,North Carolina,37141.0,5,0,34.5170729,-77.8367282
66,2020-04-15,Perquimans,North Carolina,37143.0,8,0,36.132976299999996,-76.4100267
67,2020-04-15,Person,North Carolina,37145.0,11,0,36.352822100000004,-78.92882420000001
68,2020-04-15,Pitt,North Carolina,37147.0,69,1,35.558922100000004,-77.42429720000001
69,2020-04-15,Polk,North Carolina,37149.0,9,0,35.2686842,-82.1713632
70,2020-04-15,Randolph,North Carolina,37151.0,56,2,35.744953100000004,-79.82967430000001
71,2020-04-15,Richmond,North Carolina,37153.0,12,1,35.003045,-79.7848422
72,2020-04-15,Robeson,North Carolina,37155.0,11,0,34.638385799999995,-79.1096901
73,2020-04-15,Rockingham,North Carolina,37157.0,15,2,34.9393201,-79.7739457
74,2020-04-15,Rowan,North Carolina,37159.0,206,7,35.630345500000004,-80.54384499999998
75,2020-04-15,Rutherford,North Carolina,37161.0,45,2,35.425873700000004,-81.909826
76,2020-04-15,Sampson,North Carolina,37163.0,13,0,34.91975479999999,-78.38422270000001
77,2020-04-15,Scotland,North Carolina,37165.0,9,0,34.8451203,-79.4703885
78,2020-04-15,Stanly,North Carolina,37167.0,17,1,35.30145540000001,-80.23213129999998
79,2020-04-15,Stokes,North Carolina,37169.0,10,0,36.4244396,-80.23213129999998
80,2020-04-15,Surry,North Carolina,37171.0,10,0,36.374345299999995,-80.6770787
81,2020-04-15,Transylvania,North Carolina,37175.0,6,0,35.2190534,-82.7778579
82,2020-04-15,Union,North Carolina,37179.0,112,3,34.9338651,-80.54384499999998
83,2020-04-15,Vance,North Carolina,37181.0,23,1,36.347905700000005,-78.42971870000001
84,2020-04-15,Wake,North Carolina,37183.0,510,1,35.8031909,-78.5660852
85,2020-04-15,Warren,North Carolina,37185.0,3,0,36.4352131,-78.0195387
86,2020-04-15,Washington,North Carolina,37187.0,18,2,35.54655169999999,-77.05217420000001
87,2020-04-15,Watauga,North Carolina,37189.0,8,0,36.194182500000004,-81.73494199999998
88,2020-04-15,Wayne,North Carolina,37191.0,80,2,35.356549900000005,-77.973865
89,2020-04-15,Wilkes,North Carolina,37193.0,4,1,36.202858,-81.2518833
90,2020-04-15,Wilson,North Carolina,37195.0,75,3,35.7212689,-77.91553950000001
91,2020-04-15,Yadkin,North Carolina,37197.0,11,1,36.2023597,-80.6770787
