,date,county,state,fips,cases,deaths
394,2020-02-29,King,Washington,53033.0,4,1
421,2020-03-01,King,Washington,53033.0,11,3
453,2020-03-02,King,Washington,53033.0,15,6
488,2020-03-03,King,Washington,53033.0,22,10
501,2020-03-04,Placer,California,6061.0,2,1
527,2020-03-04,King,Washington,53033.0,33,11
540,2020-03-05,Placer,California,6061.0,2,1
576,2020-03-05,King,Washington,53033.0,52,11
590,2020-03-06,Placer,California,6061.0,5,1
606,2020-03-06,Lee,Florida,12071.0,1,1
608,2020-03-06,Santa Rosa,Florida,12113.0,1,1
649,2020-03-06,King,Washington,53033.0,59,12
666,2020-03-07,Placer,California,6061.0,5,1
686,2020-03-07,Lee,Florida,12071.0,2,1
689,2020-03-07,Santa Rosa,Florida,12113.0,1,1
743,2020-03-07,King,Washington,53033.0,72,16
761,2020-03-08,Placer,California,6061.0,7,1
782,2020-03-08,Lee,Florida,12071.0,2,1
785,2020-03-08,Santa Rosa,Florida,12113.0,1,1
852,2020-03-08,Chelan,Washington,53007.0,1,1
855,2020-03-08,King,Washington,53033.0,91,18
875,2020-03-09,Placer,California,6061.0,7,1
881,2020-03-09,Santa Clara,California,6085.0,43,1
899,2020-03-09,Lee,Florida,12071.0,2,1
902,2020-03-09,Santa Rosa,Florida,12113.0,1,1
983,2020-03-09,Chelan,Washington,53007.0,1,1
986,2020-03-09,King,Washington,53033.0,117,21
1007,2020-03-10,Placer,California,6061.0,7,1
1009,2020-03-10,Sacramento,California,6067.0,9,1
1014,2020-03-10,Santa Clara,California,6085.0,45,1
1036,2020-03-10,Lee,Florida,12071.0,2,1
1042,2020-03-10,Santa Rosa,Florida,12113.0,1,1
1090,2020-03-10,Bergen,New Jersey,34003.0,7,1
1125,2020-03-10,Davison,South Dakota,46035.0,2,1
1146,2020-03-10,Chelan,Washington,53007.0,1,1
1149,2020-03-10,King,Washington,53033.0,191,23
1168,2020-03-11,Los Angeles,California,6037.0,28,1
1173,2020-03-11,Placer,California,6061.0,7,1
1175,2020-03-11,Sacramento,California,6067.0,9,1
1180,2020-03-11,Santa Clara,California,6085.0,48,1
1205,2020-03-11,Lee,Florida,12071.0,2,1
1212,2020-03-11,Santa Rosa,Florida,12113.0,1,1
1272,2020-03-11,Bergen,New Jersey,34003.0,11,1
1321,2020-03-11,Davison,South Dakota,46035.0,2,1
1345,2020-03-11,Chelan,Washington,53007.0,1,1
1349,2020-03-11,King,Washington,53033.0,235,27
1354,2020-03-11,Snohomish,Washington,53061.0,69,1
1374,2020-03-12,Los Angeles,California,6037.0,32,1
1379,2020-03-12,Placer,California,6061.0,7,1
1381,2020-03-12,Sacramento,California,6067.0,16,1
1386,2020-03-12,Santa Clara,California,6085.0,66,1
1400,2020-03-12,El Paso,Colorado,8041.0,1,1
1416,2020-03-12,Lee,Florida,12071.0,4,1
1424,2020-03-12,Santa Rosa,Florida,12113.0,1,1
1432,2020-03-12,Cobb,Georgia,13067.0,8,1
1458,2020-03-12,Wyandotte,Kansas,20209.0,1,1
1501,2020-03-12,Bergen,New Jersey,34003.0,13,1
1567,2020-03-12,Davison,South Dakota,46035.0,2,1
1597,2020-03-12,Chelan,Washington,53007.0,1,1
1603,2020-03-12,King,Washington,53033.0,271,28
1608,2020-03-12,Snohomish,Washington,53061.0,107,3
1634,2020-03-13,Los Angeles,California,6037.0,40,1
1639,2020-03-13,Placer,California,6061.0,7,1
1641,2020-03-13,Sacramento,California,6067.0,16,1
1647,2020-03-13,Santa Clara,California,6085.0,79,2
1662,2020-03-13,El Paso,Colorado,8041.0,2,2
1682,2020-03-13,Lee,Florida,12071.0,4,1
1692,2020-03-13,Santa Rosa,Florida,12113.0,1,1
1700,2020-03-13,Cobb,Georgia,13067.0,8,1
1731,2020-03-13,Wyandotte,Kansas,20209.0,1,1
1793,2020-03-13,Bergen,New Jersey,34003.0,17,1
1867,2020-03-13,Davison,South Dakota,46035.0,2,1
1907,2020-03-13,Chelan,Washington,53007.0,1,1
1914,2020-03-13,King,Washington,53033.0,329,33
1919,2020-03-13,Snohomish,Washington,53061.0,132,3
1951,2020-03-14,Los Angeles,California,6037.0,53,1
1956,2020-03-14,Placer,California,6061.0,8,1
1958,2020-03-14,Sacramento,California,6067.0,28,1
1965,2020-03-14,Santa Clara,California,6085.0,91,2
1981,2020-03-14,El Paso,Colorado,8041.0,3,2
2004,2020-03-14,Lee,Florida,12071.0,4,2
2014,2020-03-14,Santa Rosa,Florida,12113.0,1,1
2022,2020-03-14,Cobb,Georgia,13067.0,15,1
2066,2020-03-14,Wyandotte,Kansas,20209.0,1,1
2077,2020-03-14,Orleans,Louisiana,22071.0,53,1
2139,2020-03-14,Bergen,New Jersey,34003.0,31,1
2146,2020-03-14,Monmouth,New Jersey,34025.0,8,1
2165,2020-03-14,Rockland,New York,36087.0,12,1
2204,2020-03-14,Multnomah,Oregon,41051.0,1,1
2231,2020-03-14,Davison,South Dakota,46035.0,2,1
2274,2020-03-14,James City,Virginia,51095.0,9,1
2280,2020-03-14,Chelan,Washington,53007.0,1,1
2287,2020-03-14,King,Washington,53033.0,389,36
2293,2020-03-14,Snohomish,Washington,53061.0,154,3
2330,2020-03-15,Los Angeles,California,6037.0,69,1
2335,2020-03-15,Placer,California,6061.0,8,1
2337,2020-03-15,Sacramento,California,6067.0,32,1
2344,2020-03-15,San Mateo,California,6081.0,32,1
2346,2020-03-15,Santa Clara,California,6085.0,114,2
2362,2020-03-15,El Paso,Colorado,8041.0,4,2
2388,2020-03-15,Lee,Florida,12071.0,5,2
2398,2020-03-15,Santa Rosa,Florida,12113.0,1,1
2408,2020-03-15,Cobb,Georgia,13067.0,19,1
2462,2020-03-15,Wyandotte,Kansas,20209.0,1,1
2474,2020-03-15,Orleans,Louisiana,22071.0,75,2
2547,2020-03-15,Bergen,New Jersey,34003.0,32,1
2554,2020-03-15,Monmouth,New Jersey,34025.0,11,1
2577,2020-03-15,Rockland,New York,36087.0,13,1
2623,2020-03-15,Multnomah,Oregon,41051.0,1,1
2656,2020-03-15,Davison,South Dakota,46035.0,2,1
2701,2020-03-15,James City,Virginia,51095.0,9,1
2707,2020-03-15,Chelan,Washington,53007.0,1,1
2714,2020-03-15,King,Washington,53033.0,421,38
2722,2020-03-15,Snohomish,Washington,53061.0,175,3
2764,2020-03-16,Los Angeles,California,6037.0,94,1
2770,2020-03-16,Placer,California,6061.0,8,1
2771,2020-03-16,Riverside,California,6065.0,14,2
2772,2020-03-16,Sacramento,California,6067.0,32,2
2779,2020-03-16,San Mateo,California,6081.0,42,1
2781,2020-03-16,Santa Clara,California,6085.0,138,4
2797,2020-03-16,El Paso,Colorado,8041.0,6,2
2825,2020-03-16,Lee,Florida,12071.0,5,2
2830,2020-03-16,Orange,Florida,12095.0,4,1
2835,2020-03-16,Santa Rosa,Florida,12113.0,1,1
2845,2020-03-16,Cobb,Georgia,13067.0,22,1
2893,2020-03-16,Marion,Indiana,18097.0,7,1
2907,2020-03-16,Wyandotte,Kansas,20209.0,1,1
2908,2020-03-16,Bourbon,Kentucky,21017.0,1,1
2920,2020-03-16,Orleans,Louisiana,22071.0,95,3
2997,2020-03-16,Clark,Nevada,32003.0,35,1
3003,2020-03-16,Bergen,New Jersey,34003.0,61,2
3011,2020-03-16,Monmouth,New Jersey,34025.0,14,1
3038,2020-03-16,Rockland,New York,36087.0,16,1
3041,2020-03-16,Suffolk,New York,36103.0,63,2
3088,2020-03-16,Multnomah,Oregon,41051.0,2,1
3117,2020-03-16,Lexington,South Carolina,45063.0,2,1
3122,2020-03-16,Davison,South Dakota,46035.0,2,1
3148,2020-03-16,Matagorda,Texas,48321.0,2,1
3173,2020-03-16,James City,Virginia,51095.0,10,1
3181,2020-03-16,Chelan,Washington,53007.0,1,1
3188,2020-03-16,King,Washington,53033.0,489,44
3196,2020-03-16,Snohomish,Washington,53061.0,199,3
3245,2020-03-17,Los Angeles,California,6037.0,144,1
3252,2020-03-17,Placer,California,6061.0,8,1
3253,2020-03-17,Riverside,California,6065.0,16,3
3254,2020-03-17,Sacramento,California,6067.0,39,2
3255,2020-03-17,San Benito,California,6069.0,2,1
3261,2020-03-17,San Mateo,California,6081.0,64,1
3263,2020-03-17,Santa Clara,California,6085.0,155,5
3279,2020-03-17,El Paso,Colorado,8041.0,6,2
3289,2020-03-17,Weld,Colorado,8123.0,5,1
3300,2020-03-17,Broward,Florida,12011.0,55,1
3309,2020-03-17,Lee,Florida,12071.0,7,2
3310,2020-03-17,Manatee,Florida,12081.0,7,1
3314,2020-03-17,Orange,Florida,12095.0,6,1
3320,2020-03-17,Santa Rosa,Florida,12113.0,1,1
3330,2020-03-17,Cobb,Georgia,13067.0,25,1
3360,2020-03-17,Cook,Illinois,17031.0,107,1
3381,2020-03-17,Johnson,Indiana,18081.0,3,1
3384,2020-03-17,Marion,Indiana,18097.0,9,1
3402,2020-03-17,Wyandotte,Kansas,20209.0,3,1
3403,2020-03-17,Bourbon,Kentucky,21017.0,1,1
3417,2020-03-17,Orleans,Louisiana,22071.0,136,5
3509,2020-03-17,Clark,Nevada,32003.0,42,1
3515,2020-03-17,Bergen,New Jersey,34003.0,84,2
3524,2020-03-17,Monmouth,New Jersey,34025.0,22,1
3548,2020-03-17,Nassau,New York,36059.0,131,2
3555,2020-03-17,Rockland,New York,36087.0,22,2
3558,2020-03-17,Suffolk,New York,36103.0,84,3
3614,2020-03-17,Lane,Oregon,41039.0,2,1
3617,2020-03-17,Multnomah,Oregon,41051.0,3,1
3648,2020-03-17,Lexington,South Carolina,45063.0,3,1
3655,2020-03-17,Davison,South Dakota,46035.0,2,1
3684,2020-03-17,Matagorda,Texas,48321.0,2,1
3712,2020-03-17,James City,Virginia,51095.0,12,2
3721,2020-03-17,Chelan,Washington,53007.0,3,1
3722,2020-03-17,Clark,Washington,53011.0,4,2
3729,2020-03-17,King,Washington,53033.0,518,47
3738,2020-03-17,Snohomish,Washington,53061.0,265,4
3798,2020-03-18,Los Angeles,California,6037.0,190,1
3806,2020-03-18,Placer,California,6061.0,9,1
3807,2020-03-18,Riverside,California,6065.0,16,3
3808,2020-03-18,Sacramento,California,6067.0,39,2
3809,2020-03-18,San Benito,California,6069.0,5,1
3813,2020-03-18,San Joaquin,California,6077.0,14,2
3815,2020-03-18,San Mateo,California,6081.0,80,1
3817,2020-03-18,Santa Clara,California,6085.0,175,6
3833,2020-03-18,El Paso,Colorado,8041.0,8,2
3843,2020-03-18,Weld,Colorado,8123.0,9,1
3845,2020-03-18,Fairfield,Connecticut,9001.0,69,1
3857,2020-03-18,Broward,Florida,12011.0,80,1
3860,2020-03-18,Clay,Florida,12019.0,4,1
3866,2020-03-18,Lee,Florida,12071.0,11,2
3868,2020-03-18,Manatee,Florida,12081.0,8,1
3872,2020-03-18,Orange,Florida,12095.0,11,1
3878,2020-03-18,Santa Rosa,Florida,12113.0,1,1
3890,2020-03-18,Cobb,Georgia,13067.0,29,1
3894,2020-03-18,Dougherty,Georgia,13095.0,7,2
3923,2020-03-18,Cook,Illinois,17031.0,179,1
3954,2020-03-18,Johnson,Indiana,18081.0,3,1
3958,2020-03-18,Marion,Indiana,18097.0,11,1
3979,2020-03-18,Wyandotte,Kansas,20209.0,5,1
3980,2020-03-18,Bourbon,Kentucky,21017.0,2,1
3995,2020-03-18,Jefferson,Louisiana,22051.0,45,1
