,date,county,state,fips,cases,deaths
60158,2020-04-15,Daviess,Kentucky,21059.0,100,3
60153,2020-04-15,Christian,Kentucky,21047.0,73,3
60267,2020-04-15,Lafayette,Louisiana,22055.0,375,16
60149,2020-04-15,Campbell,Kentucky,21037.0,51,5
60148,2020-04-15,Calloway,Kentucky,21035.0,19,1
60146,2020-04-15,Butler,Kentucky,21031.0,50,3
60145,2020-04-15,Bullitt,Kentucky,21029.0,32,2
60160,2020-04-15,Fayette,Kentucky,21067.0,212,7
60179,2020-04-15,Jefferson,Kentucky,21111.0,582,53
60178,2020-04-15,Jackson,Kentucky,21109.0,26,1
60177,2020-04-15,Hopkins,Kentucky,21107.0,101,9
60166,2020-04-15,Grant,Kentucky,21081.0,16,1
60140,2020-04-15,Boyd,Kentucky,21019.0,27,2
60139,2020-04-15,Bourbon,Kentucky,21017.0,4,1
60104,2020-04-15,Montgomery,Kansas,20125.0,11,2
60118,2020-04-15,Saline,Kansas,20169.0,13,2
60138,2020-04-15,Boone,Kentucky,21015.0,65,2
60134,2020-04-15,Anderson,Kentucky,21005.0,4,1
60132,2020-04-15,Adair,Kentucky,21001.0,45,2
60131,2020-04-15,Wyandotte,Kansas,20209.0,363,31
60127,2020-04-15,Sumner,Kansas,20191.0,2,1
60122,2020-04-15,Shawnee,Kansas,20177.0,82,5
60120,2020-04-15,Sedgwick,Kansas,20173.0,209,3
60182,2020-04-15,Kenton,Kentucky,21117.0,107,10
60246,2020-04-15,Bossier,Louisiana,22015.0,211,11
60244,2020-04-15,Beauregard,Louisiana,22011.0,30,1
60243,2020-04-15,Avoyelles,Louisiana,22009.0,64,3
60242,2020-04-15,Assumption,Louisiana,22007.0,129,1
60241,2020-04-15,Ascension,Louisiana,22005.0,440,27
60240,2020-04-15,Allen,Louisiana,22003.0,74,8
60239,2020-04-15,Acadia,Louisiana,22001.0,105,5
60245,2020-04-15,Bienville,Louisiana,22013.0,42,7
60247,2020-04-15,Caddo,Louisiana,22017.0,1118,57
60225,2020-04-15,Simpson,Kentucky,21213.0,17,2
60248,2020-04-15,Calcasieu,Louisiana,22019.0,282,15
60265,2020-04-15,Jefferson Davis,Louisiana,22053.0,48,4
60264,2020-04-15,Jefferson,Louisiana,22051.0,5265,247
60262,2020-04-15,Iberville,Louisiana,22047.0,256,17
60261,2020-04-15,Iberia,Louisiana,22045.0,159,7
