,county,state,Lat,Lng
0,Texas,Missouri,37.3673645,-91.9099238
1,Mercer,North Dakota,47.4769315,-100.7433009
2,Butte,South Dakota,44.9251992,-103.7008932
3,Benton,Indiana,41.509216,-85.76110159999999
4,Marion,Missouri,38.6908657,-92.3662985
5,Jackson,North Carolina,36.3895976,-77.4213614
6,Kingsbury,South Dakota,44.37773110000001,-97.5247243
7,Hall,Texas,34.4793521,-100.7097867
8,Yoakum,Texas,29.2877469,-97.15193099999999
9,Rhea,Tennessee,35.5927914,-84.981754
10,Washita,Oklahoma,35.1028386,-98.3408881
11,Lewis,Idaho,46.2664791,-116.4054092
12,Benzie,Michigan,44.678277,-86.2970998
13,Logan,Nebraska,41.494722,-100.3004138
14,Putnam,Ohio,41.0540759,-84.1857115
15,Ontonagon,Michigan,46.8710525,-89.31403019999999
16,Geneva,Alabama,31.0329572,-85.8638242
17,Morgan,Utah,41.03605599999999,-111.6768769
18,McIntosh,Oklahoma,35.3466151,-95.6457951
19,Autauga,Alabama,32.5791817,-86.49965460000001
20,Baldwin,Alabama,30.6010744,-87.77633329999999
21,Barbour,Alabama,31.8172896,-85.35496499999999
22,Bibb,Alabama,32.9562798,-87.14228949999999
23,Blount,Alabama,34.0145152,-86.49965460000001
24,Bullock,Alabama,32.0573536,-85.7256372
25,Butler,Alabama,32.0895908,-88.2219652
26,Calhoun,Alabama,33.7701576,-85.80766
27,Chambers,Alabama,32.9028048,-85.35496499999999
28,Cherokee,Alabama,34.7570342,-87.9728143
29,Chilton,Alabama,32.944392,-86.6611083
30,Choctaw,Alabama,32.0716631,-88.24611829999999
31,Clarke,Alabama,31.7002461,-87.77633329999999
32,Clay,Alabama,33.7026013,-86.5997096
33,Cleburne,Alabama,33.6261707,-85.52002399999999
34,Coffee,Alabama,31.4751172,-86.0121573
35,Colbert,Alabama,34.7117567,-87.89424509999999
36,Conecuh,Alabama,31.501571,-86.9824288
37,Coosa,Alabama,32.8897772,-86.2196937
38,Covington,Alabama,31.3066438,-86.49965460000001
39,Crenshaw,Alabama,31.6671872,-86.3376761
40,Cullman,Alabama,34.1748208,-86.8436124
41,Dale,Alabama,31.4645298,-85.684578
42,Dallas,Alabama,32.2332138,-87.14228949999999
43,DeKalb,Alabama,34.5211397,-85.684578
44,Elmore,Alabama,32.5387448,-86.3149712
45,Escambia,Alabama,31.1394734,-87.14228949999999
46,Etowah,Alabama,34.0455341,-86.05296039999999
47,Fayette,Alabama,33.6845539,-87.8308522
48,Franklin,Alabama,32.4784706,-85.8024562
49,Greene,Alabama,32.9718107,-87.9334803
50,Hale,Alabama,32.7859102,-87.6186379
51,Henry,Alabama,31.4469377,-85.1894045
52,Houston,Alabama,34.1414925,-87.2580686
53,Jackson,Alabama,31.5090521,-87.8944435
54,Jefferson,Alabama,33.4914122,-86.9824288
55,Lamar,Alabama,33.6923649,-88.0900762
56,Lauderdale,Alabama,34.8840876,-87.658113
57,Lawrence,Alabama,34.567428,-87.30161319999999
58,Lee,Alabama,32.5888702,-85.39627689999999
59,Limestone,Alabama,34.78000720000001,-86.9423801
60,Lowndes,Alabama,32.221464,-86.6611083
61,Macon,Alabama,32.3731182,-85.684578
62,Madison,Alabama,34.6992579,-86.74833180000002
