,County,State,Average Rating,Hospitals,Emergency Services,County Beds,FIPS,ID
0,MECKLENBURG,NC,3.8333333333333335,8.0,1.0,1054.0,37119.0,"Mecklenburg, NC"
1,WAKE,NC,4.0,6.0,1.0,1477.0,37183.0,"Wake, NC"
2,FORSYTH,NC,3.0,4.0,1.0,1933.0,37067.0,"Forsyth, NC"
3,ONSLOW,NC,2.0,3.0,1.0,,37133.0,"Onslow, NC"
4,DURHAM,NC,4.5,3.0,1.0,1410.0,37063.0,"Durham, NC"
5,IREDELL,NC,2.6666666666666665,3.0,1.0,105.0,37097.0,"Iredell, NC"
6,GRANVILLE,NC,3.0,3.0,1.0,,37077.0,"Granville, NC"
7,BRUNSWICK,NC,3.0,3.0,1.0,60.0,37019.0,"Brunswick, NC"
8,CUMBERLAND,NC,3.0,2.0,1.0,600.0,37051.0,"Cumberland, NC"
9,HARNETT,NC,4.0,2.0,1.0,108.0,37085.0,"Harnett, NC"
10,DAVIDSON,NC,3.0,2.0,1.0,243.0,37057.0,"Davidson, NC"
11,BUNCOMBE,NC,5.0,2.0,1.0,735.0,37021.0,"Buncombe, NC"
12,CATAWBA,NC,2.5,2.0,1.0,,37035.0,"Catawba, NC"
13,SURRY,NC,4.0,2.0,1.0,81.0,37171.0,"Surry, NC"
14,MACON,NC,3.5,2.0,1.0,50.0,37113.0,"Macon, NC"
15,GUILFORD,NC,4.5,2.0,1.0,1586.0,37081.0,"Guilford, NC"
16,CLEVELAND,NC,4.0,2.0,1.0,,37045.0,"Cleveland, NC"
17,NEW HANOVER,NC,3.0,2.0,1.0,,37129.0,"New Hanover, NC"
18,HENDERSON,NC,4.5,2.0,1.0,103.0,37089.0,"Henderson, NC"
19,HALIFAX,NC,1.0,2.0,1.0,226.0,37083.0,"Halifax, NC"
20,WAYNE,NC,2.0,2.0,1.0,316.0,37191.0,"Wayne, NC"
21,SWAIN,NC,,2.0,,48.0,0,"Swain, NC"
22,BURKE,NC,4.0,2.0,1.0,204.0,37023.0,"Burke, NC"
23,CABARRUS,NC,2.0,1.0,1.0,,37025.0,"Cabarrus, NC"
24,MOORE,NC,4.0,1.0,1.0,395.0,37125.0,"Moore, NC"
25,EDGECOMBE,NC,4.0,1.0,1.0,83.0,37065.0,"Edgecombe, NC"
26,GASTON,NC,2.0,1.0,1.0,442.0,37071.0,"Gaston, NC"
27,DARE,NC,4.0,1.0,1.0,19.0,37055.0,"Dare, NC"
28,RANDOLPH,NC,2.0,1.0,1.0,145.0,37151.0,"Randolph, NC"
29,RUTHERFORD,NC,3.0,1.0,1.0,143.0,37161.0,"Rutherford, NC"
30,STANLY,NC,2.0,1.0,1.0,109.0,37167.0,"Stanly, NC"
31,WASHINGTON,NC,,1.0,,,37187.0,"Washington, NC"
32,BEAUFORT,NC,3.0,1.0,1.0,142.0,37013.0,"Beaufort, NC"
33,ROWAN,NC,2.0,1.0,1.0,308.0,37159.0,"Rowan, NC"
34,CRAVEN,NC,4.0,1.0,1.0,,37049.0,"Craven, NC"
35,ALLEGHANY,NC,2.0,1.0,1.0,25.0,37005.0,"Alleghany, NC"
36,LEE,NC,2.0,1.0,1.0,,37105.0,"Lee, NC"
37,MC DOWELL,NC,4.0,1.0,1.0,65.0,0,"Mc Dowell, NC"
38,SCOTLAND,NC,3.0,1.0,1.0,104.0,37165.0,"Scotland, NC"
39,ANSON,NC,,1.0,,,37007.0,"Anson, NC"
40,MITCHELL,NC,4.0,1.0,1.0,85.0,37121.0,"Mitchell, NC"
41,LENOIR,NC,2.0,1.0,1.0,235.0,37107.0,"Lenoir, NC"
42,ALAMANCE,NC,3.0,1.0,1.0,238.0,37001.0,"Alamance, NC"
43,PERSON,NC,2.0,1.0,1.0,50.0,37145.0,"Person, NC"
44,COLUMBUS,NC,2.0,1.0,1.0,166.0,37047.0,"Columbus, NC"
45,CHATHAM,NC,,1.0,,68.0,37037.0,"Chatham, NC"
46,UNION,NC,2.0,1.0,1.0,,37179.0,"Union, NC"
47,CHEROKEE,NC,3.0,1.0,1.0,50.0,37039.0,"Cherokee, NC"
48,NASH,NC,1.0,1.0,1.0,,37127.0,"Nash, NC"
49,HOKE,NC,4.0,1.0,1.0,41.0,37093.0,"Hoke, NC"
50,LINCOLN,NC,5.0,1.0,1.0,,37109.0,"Lincoln, NC"
51,BLADEN,NC,3.0,1.0,1.0,35.0,37017.0,"Bladen, NC"
52,MONTGOMERY,NC,,1.0,,25.0,37123.0,"Montgomery, NC"
53,VANCE,NC,2.0,1.0,1.0,102.0,37181.0,"Vance, NC"
54,CALDWELL,NC,3.0,1.0,1.0,110.0,37027.0,"Caldwell, NC"
55,HERTFORD,NC,3.0,1.0,1.0,124.0,37091.0,"Hertford, NC"
56,STOKES,NC,,1.0,,49.0,37169.0,"Stokes, NC"
57,ORANGE,NC,3.0,1.0,1.0,,37135.0,"Orange, NC"
58,DUPLIN,NC,4.0,1.0,1.0,101.0,37061.0,"Duplin, NC"
59,PASQUOTANK,NC,2.0,1.0,1.0,182.0,37139.0,"Pasquotank, NC"
60,POLK,NC,4.0,1.0,1.0,35.0,37149.0,"Polk, NC"
61,TRANSYLVANIA,NC,4.0,1.0,1.0,25.0,37175.0,"Transylvania, NC"
62,PITT,NC,2.0,1.0,1.0,909.0,37147.0,"Pitt, NC"
63,CHOWAN,NC,3.0,1.0,1.0,25.0,37041.0,"Chowan, NC"
64,WATAUGA,NC,5.0,1.0,1.0,,37189.0,"Watauga, NC"
65,HAYWOOD,NC,4.0,1.0,1.0,,37087.0,"Haywood, NC"
66,CARTERET,NC,2.0,1.0,1.0,,37031.0,"Carteret, NC"
67,JACKSON,NC,2.0,1.0,1.0,86.0,37099.0,"Jackson, NC"
68,ROBESON,NC,3.0,1.0,1.0,314.0,37155.0,"Robeson, NC"
69,JOHNSTON,NC,4.0,1.0,1.0,,37101.0,"Johnston, NC"
70,BERTIE,NC,5.0,1.0,1.0,15.0,37015.0,"Bertie, NC"
71,MARTIN,NC,3.0,1.0,1.0,,37117.0,"Martin, NC"
72,WILKES,NC,4.0,1.0,1.0,120.0,37193.0,"Wilkes, NC"
73,ROCKINGHAM,NC,2.0,1.0,1.0,108.0,37157.0,"Rockingham, NC"
74,AVERY,NC,3.0,1.0,1.0,40.0,0,"Avery, NC"
75,PENDER,NC,,1.0,,,37141.0,"Pender, NC"
76,ASHE,NC,4.0,1.0,1.0,76.0,37009.0,"Ashe, NC"
77,DAVIE,NC,5.0,1.0,1.0,81.0,37059.0,"Davie, NC"
78,SAMPSON,NC,3.0,1.0,1.0,,37163.0,"Sampson, NC"
79,WILSON,NC,2.0,1.0,1.0,317.0,37195.0,"Wilson, NC"
