,County,State,Average Rating,Hospitals,Emergency Services,County Beds,fips
0,MECKLENBURG,NC,3.8333333333333335,8.0,1.0,1054.0,37119
1,WAKE,NC,4.0,6.0,1.0,1477.0,37183
2,FORSYTH,NC,3.0,4.0,1.0,1933.0,37067
3,DURHAM,NC,4.5,3.0,1.0,1410.0,37063
4,ONSLOW,NC,2.0,3.0,1.0,,37133
5,GRANVILLE,NC,3.0,3.0,1.0,,37077
6,BRUNSWICK,NC,3.0,3.0,1.0,60.0,37019
7,IREDELL,NC,2.6666666666666665,3.0,1.0,105.0,37097
8,BUNCOMBE,NC,5.0,2.0,1.0,735.0,37021
9,NEW HANOVER,NC,3.0,2.0,1.0,,37129
10,MACON,NC,3.5,2.0,1.0,50.0,37113
11,BURKE,NC,4.0,2.0,1.0,204.0,37023
12,HENDERSON,NC,4.5,2.0,1.0,103.0,37089
13,CUMBERLAND,NC,3.0,2.0,1.0,600.0,37051
14,HALIFAX,NC,1.0,2.0,1.0,226.0,37083
15,SURRY,NC,4.0,2.0,1.0,81.0,37171
16,HARNETT,NC,4.0,2.0,1.0,108.0,37085
17,DAVIDSON,NC,3.0,2.0,1.0,243.0,37057
18,GUILFORD,NC,4.5,2.0,1.0,1586.0,37081
19,CATAWBA,NC,2.5,2.0,1.0,,37035
20,WAYNE,NC,2.0,2.0,1.0,316.0,37191
21,CLEVELAND,NC,4.0,2.0,1.0,,37045
22,SWAIN,NC,,2.0,,48.0,37173
23,CHEROKEE,NC,3.0,1.0,1.0,50.0,37039
24,DUPLIN,NC,4.0,1.0,1.0,101.0,37061
25,RANDOLPH,NC,2.0,1.0,1.0,145.0,37151
26,CRAVEN,NC,4.0,1.0,1.0,,37049
27,HAYWOOD,NC,4.0,1.0,1.0,,37087
28,BLADEN,NC,3.0,1.0,1.0,35.0,37017
29,LINCOLN,NC,5.0,1.0,1.0,,37109
30,ASHE,NC,4.0,1.0,1.0,76.0,37009
31,ALAMANCE,NC,3.0,1.0,1.0,238.0,37001
32,BERTIE,NC,5.0,1.0,1.0,15.0,37015
33,ALLEGHANY,NC,2.0,1.0,1.0,25.0,37005
34,UNION,NC,2.0,1.0,1.0,,37179
35,WILSON,NC,2.0,1.0,1.0,317.0,37195
36,PITT,NC,2.0,1.0,1.0,909.0,37147
37,HOKE,NC,4.0,1.0,1.0,41.0,37093
38,NASH,NC,1.0,1.0,1.0,,37127
39,CABARRUS,NC,2.0,1.0,1.0,,37025
40,MOORE,NC,4.0,1.0,1.0,395.0,37125
41,ORANGE,NC,3.0,1.0,1.0,,37135
42,MITCHELL,NC,4.0,1.0,1.0,85.0,37121
43,LENOIR,NC,2.0,1.0,1.0,235.0,37107
44,EDGECOMBE,NC,4.0,1.0,1.0,83.0,37065
45,BEAUFORT,NC,3.0,1.0,1.0,142.0,37013
46,ROBESON,NC,3.0,1.0,1.0,314.0,37155
47,GASTON,NC,2.0,1.0,1.0,442.0,37071
48,TRANSYLVANIA,NC,4.0,1.0,1.0,25.0,37175
49,ROCKINGHAM,NC,2.0,1.0,1.0,108.0,37157
50,WASHINGTON,NC,,1.0,,,37187
51,CHOWAN,NC,3.0,1.0,1.0,25.0,37041
52,ROWAN,NC,2.0,1.0,1.0,308.0,37159
53,HERTFORD,NC,3.0,1.0,1.0,124.0,37091
54,CARTERET,NC,2.0,1.0,1.0,,37031
55,MONTGOMERY,NC,,1.0,,25.0,37123
56,STOKES,NC,,1.0,,49.0,37169
57,SAMPSON,NC,3.0,1.0,1.0,,37163
58,DARE,NC,4.0,1.0,1.0,19.0,37055
59,MC DOWELL,NC,4.0,1.0,1.0,65.0,37111
60,JOHNSTON,NC,4.0,1.0,1.0,,37101
61,RUTHERFORD,NC,3.0,1.0,1.0,143.0,37161
62,MARTIN,NC,3.0,1.0,1.0,,37117
63,STANLY,NC,2.0,1.0,1.0,109.0,37167
64,ANSON,NC,,1.0,,,37007
65,CHATHAM,NC,,1.0,,68.0,37037
66,DAVIE,NC,5.0,1.0,1.0,81.0,37059
67,PASQUOTANK,NC,2.0,1.0,1.0,182.0,37139
68,WILKES,NC,4.0,1.0,1.0,120.0,37193
69,LEE,NC,2.0,1.0,1.0,,37105
70,COLUMBUS,NC,2.0,1.0,1.0,166.0,37047
71,PENDER,NC,,1.0,,,37141
72,CALDWELL,NC,3.0,1.0,1.0,110.0,37027
73,SCOTLAND,NC,3.0,1.0,1.0,104.0,37165
74,WATAUGA,NC,5.0,1.0,1.0,,37189
75,PERSON,NC,2.0,1.0,1.0,50.0,37145
76,VANCE,NC,2.0,1.0,1.0,102.0,37181
77,AVERY,NC,3.0,1.0,1.0,40.0,37011
78,JACKSON,NC,2.0,1.0,1.0,86.0,37099
79,POLK,NC,4.0,1.0,1.0,35.0,37149
