,County,State,Average Rating,Hospitals,Emergency Services,County Beds,fips
0,LOS ANGELES,CA,2.9027777777777777,90.0,0.5833333333333334,15072.0,6037
1,ORANGE,CA,3.1,28.0,0.9,3054.0,6059
2,SAN BERNARDINO,CA,2.4,22.0,0.9333333333333333,3230.0,6071
3,SAN DIEGO,CA,4.0,21.0,0.9333333333333333,4205.0,6073
4,RIVERSIDE,CA,2.4375,17.0,0.9375,987.0,6065
5,ALAMEDA,CA,3.1818181818181817,16.0,1.0,2480.0,6001
6,SACRAMENTO,CA,2.875,12.0,1.0,2503.0,6067
7,SANTA CLARA,CA,3.111111111111111,12.0,1.0,1925.0,6085
8,SAN FRANCISCO,CA,2.888888888888889,12.0,0.8888888888888888,2599.0,6075
9,KERN,CA,2.125,11.0,0.875,1061.0,6029
10,SONOMA,CA,4.0,9.0,1.0,825.0,6097
11,VENTURA,CA,3.1666666666666665,8.0,0.8333333333333334,927.0,6111
12,SAN JOAQUIN,CA,2.857142857142857,8.0,0.8571428571428571,1001.0,6077
13,CONTRA COSTA,CA,3.5714285714285716,8.0,1.0,1222.0,6013
14,SAN MATEO,CA,3.8,7.0,1.0,1118.0,6081
15,FRESNO,CA,2.4,7.0,0.8,1557.0,6019
16,SOLANO,CA,3.0,6.0,1.0,781.0,6095
17,SANTA BARBARA,CA,3.75,6.0,0.75,809.0,6083
18,HUMBOLDT,CA,3.3333333333333335,5.0,1.0,165.0,6023
19,STANISLAUS,CA,2.5,5.0,1.0,652.0,6099
20,SANTA CRUZ,CA,3.0,4.0,1.0,252.0,6087
21,MONTEREY,CA,3.5,4.0,1.0,326.0,6053
22,TULARE,CA,1.5,4.0,1.0,,6107
23,SHASTA,CA,2.0,4.0,1.0,267.0,6089
24,BUTTE,CA,2.75,4.0,1.0,575.0,6007
25,NAPA,CA,3.5,3.0,0.5,352.0,6055
26,MENDOCINO,CA,3.6666666666666665,3.0,1.0,152.0,6045
27,PLACER,CA,4.0,3.0,1.0,735.0,6061
28,SAN LUIS OBISPO,CA,2.6666666666666665,3.0,1.0,135.0,6079
29,PLUMAS,CA,,3.0,,,6063
30,MARIN,CA,4.0,3.0,1.0,520.0,6041
31,SISKIYOU,CA,3.0,2.0,1.0,53.0,6093
32,MERCED,CA,2.0,2.0,1.0,234.0,6047
33,MADERA,CA,1.0,2.0,0.0,454.0,6019
34,LAKE,CA,4.0,2.0,1.0,62.0,6033
35,INYO,CA,3.0,2.0,1.0,,6027
36,EL DORADO,CA,4.0,2.0,1.0,171.0,6017
37,MODOC,CA,,2.0,,26.0,6049
38,NEVADA,CA,3.0,2.0,1.0,124.0,6057
39,IMPERIAL,CA,1.5,2.0,1.0,,6025
