County;Municipality;Year;Population
Alamance;Burlington(Part);July 1, 2018;52866
Alamance;Gibsonville(Part);July 1, 2018;3687
Alamance;Graham;July 1, 2018;15136
Anson;Morven;July 1, 2018;486
Ashe;Unincorporated;July 1, 2018;24580
Avery;Seven Devils(Part);July 1, 2018;31
Bertie;Roxobel;July 1, 2018;217
Bertie;Unincorporated;July 1, 2018;13737
Bladen;Bladenboro;July 1, 2018;1722
Brunswick;Carolina Shores;July 1, 2018;3826
Brunswick;Ocean Isle Beach;July 1, 2018;661
Brunswick;Sandy Creek;July 1, 2018;304
Buncombe;Montreat;July 1, 2018;903
Burke;Hickory(Part);July 1, 2018;76
Burke;Long View(Part);July 1, 2018;744
Burke;Unincorporated;July 1, 2018;59928
Caldwell;Cajah's Mountain;July 1, 2018;2735
Caldwell;Rhodhiss(Part);July 1, 2018;356
Carteret;Bogue;July 1, 2018;732
Carteret;Cedar Point;July 1, 2018;1482
Carteret;Pine Knoll Shores;July 1, 2018;1340
Catawba;Long View(Part);July 1, 2018;4124
Chatham;Unincorporated;July 1, 2018;58009
Cherokee;Andrews;July 1, 2018;1851
Cleveland;Mooresboro;July 1, 2018;320
Cleveland;Shelby;July 1, 2018;20020
Columbus;Unincorporated;July 1, 2018;40229
Columbus;Whiteville;July 1, 2018;5190
Cumberland;Spring Lake;July 1, 2018;11392
Davidson;Thomasville(Part);July 1, 2018;26773
Davie;Mocksville;July 1, 2018;5425
Davie;Unincorporated;July 1, 2018;33913
Duplin;Greenevers;July 1, 2018;640
Forsyth;Kernersville(Part);July 1, 2018;25085
Forsyth;Walkertown;July 1, 2018;5435
Gaston;Cramerton;July 1, 2018;5062
Guilford;Burlington(Part);July 1, 2018;757
Guilford;Greensboro;July 1, 2018;292286
Guilford;Stokesdale;July 1, 2018;5857
Halifax;Enfield;July 1, 2018;2557
Halifax;Halifax;July 1, 2018;225
Halifax;Littleton;July 1, 2018;634
Halifax;Unincorporated;July 1, 2018;29636
Harnett;Angier(Part);July 1, 2018;5009
Haywood;Clyde;July 1, 2018;1274
Henderson;Mills River;July 1, 2018;7520
Henderson;Saluda(Part);July 1, 2018;14
Iredell;Mooresville;July 1, 2018;41255
Jackson;Unincorporated;July 1, 2018;40111
Jones;Maysville;July 1, 2018;1036
Lee;Broadway(Part);July 1, 2018;1279
Lee;Sanford;July 1, 2018;29962
Lincoln;Lincolnton;July 1, 2018;10565
Lincoln;Maiden(Part);July 1, 2018;3
Madison;Hot Springs;July 1, 2018;591
Madison;Mars Hill;July 1, 2018;2096
McDowell;Unincorporated;July 1, 2018;37027
Mecklenburg;Charlotte;July 1, 2018;852992
Mecklenburg;Mint Hill(Part);July 1, 2018;27459
Mecklenburg;Unincorporated;July 1, 2018;60898
Montgomery;Biscoe;July 1, 2018;1656
Nash;Red Oak;July 1, 2018;3573
New Hanover;Kure Beach;July 1, 2018;2255
Onslow;Jacksonville;July 1, 2018;75310
Orange;Carrboro;July 1, 2018;20715
Orange;Hillsborough;July 1, 2018;7483
Pamlico;Bayboro;July 1, 2018;1211
Pender;Topsail Beach;July 1, 2018;414
Person;Unincorporated;July 1, 2018;32027
Pitt;Greenville;July 1, 2018;89660
Pitt;Grifton(Part);July 1, 2018;2496
Pitt;Winterville;July 1, 2018;9456
