,County,State,Average Rating,Hospitals,Emergency Services,County Beds,fips
0,MECKLENBURG,NC,3.8333333333333335,8.0,1.0,1054.0,37119
1,WAKE,NC,4.0,6.0,1.0,1477.0,37183
2,FORSYTH,NC,3.0,4.0,1.0,1933.0,37067
3,DURHAM,NC,4.5,3.0,1.0,1410.0,37063
4,ONSLOW,NC,2.0,3.0,1.0,,37133
5,BRUNSWICK,NC,3.0,3.0,1.0,60.0,37019
6,GRANVILLE,NC,3.0,3.0,1.0,,37077
7,IREDELL,NC,2.6666666666666665,3.0,1.0,105.0,37097
8,WAYNE,NC,2.0,2.0,1.0,316.0,37191
9,CATAWBA,NC,2.5,2.0,1.0,,37035
10,HALIFAX,NC,1.0,2.0,1.0,226.0,37083
11,GUILFORD,NC,4.5,2.0,1.0,1586.0,37081
12,HARNETT,NC,4.0,2.0,1.0,108.0,37085
13,SWAIN,NC,,2.0,,48.0,37173
14,CUMBERLAND,NC,3.0,2.0,1.0,600.0,37051
15,CLEVELAND,NC,4.0,2.0,1.0,,37045
16,HENDERSON,NC,4.5,2.0,1.0,103.0,37089
17,BURKE,NC,4.0,2.0,1.0,204.0,37023
18,DAVIDSON,NC,3.0,2.0,1.0,243.0,37057
19,MACON,NC,3.5,2.0,1.0,50.0,37113
20,BUNCOMBE,NC,5.0,2.0,1.0,735.0,37021
21,NEW HANOVER,NC,3.0,2.0,1.0,,37129
22,SURRY,NC,4.0,2.0,1.0,81.0,37171
23,AVERY,NC,3.0,1.0,1.0,40.0,37011
24,EDGECOMBE,NC,4.0,1.0,1.0,83.0,37065
25,MONTGOMERY,NC,,1.0,,25.0,37123
26,WILSON,NC,2.0,1.0,1.0,317.0,37195
27,CABARRUS,NC,2.0,1.0,1.0,,37025
28,ROWAN,NC,2.0,1.0,1.0,308.0,37159
29,RANDOLPH,NC,2.0,1.0,1.0,145.0,37151
30,GASTON,NC,2.0,1.0,1.0,442.0,37071
31,HAYWOOD,NC,4.0,1.0,1.0,,37087
32,CRAVEN,NC,4.0,1.0,1.0,,37049
33,ALAMANCE,NC,3.0,1.0,1.0,238.0,37001
34,JOHNSTON,NC,4.0,1.0,1.0,,37101
35,SAMPSON,NC,3.0,1.0,1.0,,37163
36,ROCKINGHAM,NC,2.0,1.0,1.0,108.0,37157
37,LINCOLN,NC,5.0,1.0,1.0,,37109
38,UNION,NC,2.0,1.0,1.0,,37179
39,POLK,NC,4.0,1.0,1.0,35.0,37149
40,DAVIE,NC,5.0,1.0,1.0,81.0,37059
41,LENOIR,NC,2.0,1.0,1.0,235.0,37107
42,STOKES,NC,,1.0,,49.0,37169
43,PITT,NC,2.0,1.0,1.0,909.0,37147
44,WATAUGA,NC,5.0,1.0,1.0,,37189
45,WILKES,NC,4.0,1.0,1.0,120.0,37193
46,DUPLIN,NC,4.0,1.0,1.0,101.0,37061
47,BEAUFORT,NC,3.0,1.0,1.0,142.0,37013
48,WASHINGTON,NC,,1.0,,,37187
49,DARE,NC,4.0,1.0,1.0,19.0,37055
50,MOORE,NC,4.0,1.0,1.0,395.0,37125
51,CHOWAN,NC,3.0,1.0,1.0,25.0,37041
52,STANLY,NC,2.0,1.0,1.0,109.0,37167
53,VANCE,NC,2.0,1.0,1.0,102.0,37181
54,CARTERET,NC,2.0,1.0,1.0,,37031
55,ASHE,NC,4.0,1.0,1.0,76.0,37009
56,CHEROKEE,NC,3.0,1.0,1.0,50.0,37039
57,JACKSON,NC,2.0,1.0,1.0,86.0,37099
58,BERTIE,NC,5.0,1.0,1.0,15.0,37015
59,CHATHAM,NC,,1.0,,68.0,37037
60,PASQUOTANK,NC,2.0,1.0,1.0,182.0,37139
61,CALDWELL,NC,3.0,1.0,1.0,110.0,37027
62,COLUMBUS,NC,2.0,1.0,1.0,166.0,37047
63,MARTIN,NC,3.0,1.0,1.0,,37117
64,TRANSYLVANIA,NC,4.0,1.0,1.0,25.0,37175
65,ALLEGHANY,NC,2.0,1.0,1.0,25.0,37005
66,HOKE,NC,4.0,1.0,1.0,41.0,37093
67,PENDER,NC,,1.0,,,37141
68,LEE,NC,2.0,1.0,1.0,,37105
69,PERSON,NC,2.0,1.0,1.0,50.0,37145
70,ORANGE,NC,3.0,1.0,1.0,,37135
71,MC DOWELL,NC,4.0,1.0,1.0,65.0,37111
72,NASH,NC,1.0,1.0,1.0,,37127
73,BLADEN,NC,3.0,1.0,1.0,35.0,37017
74,RUTHERFORD,NC,3.0,1.0,1.0,143.0,37161
75,SCOTLAND,NC,3.0,1.0,1.0,104.0,37165
76,ANSON,NC,,1.0,,,37007
77,MITCHELL,NC,4.0,1.0,1.0,85.0,37121
78,ROBESON,NC,3.0,1.0,1.0,314.0,37155
79,HERTFORD,NC,3.0,1.0,1.0,124.0,37091
